epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,177.832,0.5533,0.37407,0.94936,0.98909,0.98958,0.98855,0.95184,0.31218,0.22323,0.80872,0.0014456,0.0014456,0.0014456
44,181.833,0.55313,0.38167,0.94778,0.98813,1,0.99366,0.95379,0.28845,0.21959,0.805,0.0014324,0.0014324,0.0014324
45,185.967,0.56251,0.3818,0.94286,0.98968,0.9988,0.99026,0.95751,0.32352,0.24064,0.81611,0.0014192,0.0014192,0.0014192
46,190.135,0.54303,0.37662,0.94344,0.98887,1,0.99242,0.92997,0.36064,0.22641,0.81846,0.001406,0.001406,0.001406
47,194.346,0.51461,0.36415,0.93226,0.98902,1,0.9916,0.94291,0.32327,0.2135,0.8099,0.0013928,0.0013928,0.0013928
48,198.338,0.5455,0.35651,0.93234,0.98911,1,0.98892,0.96725,0.27965,0.22924,0.79915,0.0013796,0.0013796,0.0013796
49,202.489,0.53887,0.38796,0.93993,0.98907,1,0.99263,0.96793,0.2703,0.21414,0.79917,0.0013664,0.0013664,0.0013664
50,206.355,0.5323,0.36473,0.93161,0.97875,1,0.98615,0.8982,0.43169,0.25556,0.82547,0.0013532,0.0013532,0.0013532
51,210.415,0.52714,0.36186,0.94941,0.98786,1,0.98954,0.95319,0.29897,0.21689,0.80199,0.00134,0.00134,0.00134
52,214.524,0.51459,0.35577,0.93652,0.96943,0.96875,0.98815,0.96468,0.24655,0.2588,0.79369,0.0013268,0.0013268,0.0013268
53,218.702,0.50867,0.36028,0.92971,0.98361,1,0.99057,0.96173,0.28732,0.21539,0.802,0.0013136,0.0013136,0.0013136
54,222.815,0.50291,0.33722,0.92494,0.98908,1,0.99325,0.97822,0.27087,0.19848,0.79962,0.0013004,0.0013004,0.0013004
55,227.062,0.50563,0.3551,0.93911,0.9862,1,0.99263,0.97437,0.25682,0.19724,0.79752,0.0012872,0.0012872,0.0012872
56,231.203,0.52369,0.35703,0.93753,0.98834,1,0.98933,0.93257,0.3377,0.22748,0.80826,0.001274,0.001274,0.001274
57,235.288,0.50071,0.33664,0.93226,0.98851,1,0.98758,0.96684,0.26613,0.21593,0.79534,0.0012608,0.0012608,0.0012608
58,239.494,0.48638,0.33516,0.92938,0.98749,1,0.99222,0.97315,0.2739,0.19925,0.79626,0.0012476,0.0012476,0.0012476
59,243.538,0.49509,0.33422,0.92191,0.98932,1,0.99191,0.95986,0.29957,0.20821,0.79963,0.0012344,0.0012344,0.0012344
60,247.603,0.53468,0.35536,0.95076,0.9793,0.98555,0.9897,0.95653,0.27989,0.23829,0.80248,0.0012212,0.0012212,0.0012212
61,251.706,0.52116,0.35599,0.93423,0.97755,1,0.99312,0.96606,0.26784,0.21484,0.79514,0.001208,0.001208,0.001208
62,255.989,0.54584,0.3529,0.94356,0.97959,0.99973,0.99042,0.95489,0.30206,0.20208,0.80619,0.0011948,0.0011948,0.0011948
63,260.094,0.48749,0.33534,0.92075,0.98758,1,0.99015,0.96837,0.25784,0.19541,0.79369,0.0011816,0.0011816,0.0011816
