epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8981.19,0.64191,0.51339,0.95974,0.99163,0.97269,0.98667,0.93174,0.27079,0.56966,0.60681,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,9274.55,0.64032,0.5059,0.95979,0.99183,0.97269,0.9867,0.9329,0.26859,0.57424,0.60471,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,9567.41,0.63573,0.50903,0.95731,0.99204,0.97234,0.98682,0.93271,0.26667,0.55247,0.60336,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,9861.33,0.63076,0.50332,0.95435,0.99196,0.97213,0.98685,0.93417,0.26534,0.53353,0.60274,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,10154.4,0.63067,0.4943,0.95249,0.99241,0.97157,0.98703,0.93592,0.26302,0.50712,0.60134,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,10448.5,0.62197,0.49007,0.95318,0.99284,0.97157,0.98709,0.93569,0.26176,0.49211,0.60023,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,10742.3,0.62119,0.486,0.95057,0.99208,0.97157,0.98739,0.93665,0.26131,0.49141,0.59999,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,11035.3,0.62042,0.48444,0.9503,0.99203,0.97108,0.98746,0.9377,0.26055,0.48289,0.59954,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,11328.7,0.6191,0.48229,0.94807,0.99203,0.97185,0.98757,0.93785,0.25946,0.46643,0.59884,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,11622.8,0.62116,0.48456,0.95183,0.99203,0.97141,0.98762,0.93801,0.25889,0.45807,0.59854,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,11915.7,0.60941,0.47418,0.94514,0.99203,0.97082,0.98766,0.93848,0.25803,0.45074,0.59818,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,12209.5,0.60432,0.46928,0.94486,0.99172,0.97269,0.98772,0.93877,0.25693,0.43605,0.59764,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,12504.4,0.60084,0.46554,0.94349,0.99261,0.97267,0.98778,0.93859,0.25616,0.42237,0.59719,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,12797.9,0.59983,0.46134,0.9403,0.99386,0.97101,0.98785,0.93837,0.25527,0.40986,0.5968,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,13092.3,0.59679,0.46198,0.94007,0.99429,0.97138,0.98787,0.93936,0.25396,0.40427,0.59636,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,13384.7,0.58957,0.45201,0.93544,0.9943,0.9726,0.98797,0.94002,0.25319,0.40189,0.59588,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,13677.5,0.58775,0.45376,0.9377,0.99481,0.97213,0.98798,0.94015,0.25231,0.39944,0.59559,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,13970.9,0.58436,0.449,0.93577,0.99486,0.97137,0.98807,0.94057,0.25149,0.39315,0.59519,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,14265.1,0.57973,0.45009,0.93223,0.99553,0.97269,0.98814,0.94079,0.25068,0.38922,0.5949,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,14558.3,0.57958,0.44304,0.93297,0.99601,0.97319,0.98817,0.94123,0.24961,0.38579,0.59471,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
